,ano,temperatura_media_anual(°C),country_code
1032,1967,25.7,HTI
1033,1967,25.53,HND
1034,1967,10.04,HUN
1035,1967,3.46,ISL
1036,1967,23.81,IND
1037,1967,26.48,IDN
1038,1967,16.79,IRN
1039,1967,19.96,IRQ
1040,1967,9.26,IRL
1041,1967,18.5,ISR
1042,1967,12.76,ITA
1043,1967,25.12,JAM
1044,1967,13.97,JPN
1045,1967,17.98,JOR
1046,1967,5.77,KAZ
1047,1967,21.93,KEN
1048,1967,7.82,PRK
1049,1967,12.86,KOR
1050,1967,24.35,KWT
1051,1967,3.3,KGZ
1052,1967,25.99,LAO
1053,1967,5.99,LVA
1054,1967,17.32,LBN
1055,1967,25.29,LBR
1056,1967,19.65,LBY
1057,1967,7.12,LTU
1058,1967,8.73,LUX
1059,1967,21.05,MWI
1060,1967,26.39,MYS
1061,1967,18.08,MLT
1062,1967,21.33,MEX
1063,1967,10.48,MDA
1064,1967,-0.47,MNG
1065,1967,16.08,MNE
